Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
71719,2025,LPL,Anyone s Legend,Team WE,Team WE,N/A,Gwen,Jarvan IV,Taliyah,Xayah,Rakan,Jayce,Xin Zhao,Akali,Lucian,Leona
71721,2025,LPL,JD Gaming,Weibo Gaming,JD Gaming,N/A,Aurora,Jarvan IV,Taliyah,Kaisa,Alistar,Gwen,Trundle,Orianna,Corki,Poppy
71722,2025,LPL,Weibo Gaming,JD Gaming,Weibo Gaming,N/A,Sion,Qiyana,Ryze,Sivir,Braum,Ambessa,Wukong,Galio,Zeri,Rell
71723,2025,LPL,JD Gaming,Weibo Gaming,JD Gaming,N/A,KSante,Naafiri,Annie,Xayah,Rakan,Yorick,Skarner,Sylas,Ezreal,Bard
71724,2025,LPL,Invictus Gaming,Bilibili Gaming,Invictus Gaming,N/A,Rumble,Wukong,Annie,Yunara,Alistar,Ambessa,Pantheon,Taliyah,Xayah,Rakan
71725,2025,LPL,Bilibili Gaming,Invictus Gaming,Invictus Gaming,N/A,Sion,Xin Zhao,Galio,Varus,Karma,Mordekaiser,Vi,Orianna,Sivir,Neeko
71727,2025,LPL,Frank Esports,CFO Academy,Frank Esports,Frank Esports,KSante,Wukong,Orianna,Varus,Neeko,Aatrox,Pantheon,Annie,Yunara,Lulu
71728,2025,LPL,CFO Academy,Frank Esports,CFO Academy,Frank Esports,Yorick,Xin Zhao,Taliyah,Ezreal,Rell,Chogath,Trundle,Aurora,Corki,Nautilus
71729,2025,LPL,Frank Esports,CFO Academy,Frank Esports,Frank Esports,Jax,Skarner,Cassiopeia,Kaisa,Alistar,Ornn,Jarvan IV,Ryze,Xayah,Renata Glasc
71871,2025,LPL,Funplus Phoenix,Ninjas in Pyjamas,Funplus Phoenix,N/A,Gwen,Xin Zhao,Galio,Varus,Rakan,Rumble,Vi,Ryze,Sivir,Rell
71872,2025,LPL,Ninjas in Pyjamas,Funplus Phoenix,Ninjas in Pyjamas,N/A,Ambessa,Wukong,Orianna,Zeri,Alistar,Renekton,Skarner,Taliyah,Corki,Nautilus
71873,2025,LPL,Funplus Phoenix,Ninjas in Pyjamas,Funplus Phoenix,N/A,Aurora,Sejuani,Yone,Lucian,Braum,Sion,Viego,Viktor,Jhin,Renata Glasc
71874,2025,LPL,Ninjas in Pyjamas,Funplus Phoenix,Ninjas in Pyjamas,N/A,Aatrox,Jarvan IV,Akali,Smolder,Neeko,KSante,Zed,Ahri,Kaisa,Bard
71875,2025,LPL,Funplus Phoenix,Ninjas in Pyjamas,Ninjas in Pyjamas,N/A,Jax,Poppy,Annie,Xayah,Taric,Udyr,Nidalee,Sylas,Jinx,Leona
71876,2025,LPL,Team WE,Edward Gaming,Edward Gaming,N/A,Rumble,Vi,Aurora,Yunara,Rell,Ornn,Xin Zhao,Ryze,Kaisa,Neeko
71877,2025,LPL,Team WE,Edward Gaming,Edward Gaming,N/A,Yorick,Trundle,Taliyah,Varus,Leona,Jax,Jarvan IV,Ahri,Sivir,Nautilus
71878,2025,LPL,Team WE,Edward Gaming,Team WE,N/A,Sion,Wukong,Corki,Ziggs,Alistar,Ambessa,Pantheon,Akali,Ezreal,Bard
71879,2025,LPL,Edward Gaming,Team WE,Edward Gaming,N/A,Aatrox,Poppy,Orianna,Senna,Braum,Renekton,Olaf,Galio,Jhin,Karma
71881,2025,LPL,Weibo Gaming,Ultra Prime,Weibo Gaming,N/A,Rumble,Trundle,Taliyah,Jhin,Rell,Sion,Jarvan IV,Orianna,Corki,Neeko
71882,2025,LPL,Ultra Prime,Weibo Gaming,Weibo Gaming,N/A,Ambessa,Xin Zhao,Galio,Varus,Bard,Gwen,Naafiri,Annie,Sivir,Alistar
71883,2025,LPL,Ultra Prime,Weibo Gaming,Weibo Gaming,N/A,Renekton,Vi,Aurora,Kaisa,Maokai,KSante,Zed,Ryze,Yunara,Rakan
71886,2025,LPL,JD Gaming,LGD Gaming,JD Gaming,N/A,Rumble,Poppy,Ryze,Xayah,Rakan,Ambessa,Jarvan IV,Galio,Lucian,Nautilus
71887,2025,LPL,LGD Gaming,JD Gaming,JD Gaming,N/A,Yorick,Wukong,Taliyah,Kaisa,Rell,Renekton,Xin Zhao,Annie,Sivir,Alistar
71888,2025,LPL,LGD Gaming,JD Gaming,JD Gaming,N/A,Udyr,Sejuani,Yone,Corki,Taric,Jax,Trundle,Aurora,Yunara,Leona
71891,2025,LPL,Luminosity Gaming,Conviction,Luminosity Gaming,Luminosity Gaming,Rumble,Vi,KogMaw,Ezreal,Rakan,Ornn,Poppy,Orianna,Corki,Nami
72104,2025,LPL,Bilibili Gaming,JD Gaming,JD Gaming,N/A,Ornn,Wukong,Annie,Corki,Bard,Rumble,Jarvan IV,Galio,Kaisa,Alistar
72105,2025,LPL,Bilibili Gaming,JD Gaming,JD Gaming,N/A,Renekton,Trundle,Ryze,Miss Fortune,Nautilus,Jax,Kindred,Aurora,Sivir,Braum
72106,2025,LPL,Bilibili Gaming,JD Gaming,Bilibili Gaming,N/A,Ambessa,Nocturne,Orianna,Xayah,Rakan,KSante,Xin Zhao,Taliyah,Jhin,Rell
72107,2025,LPL,JD Gaming,Bilibili Gaming,Bilibili Gaming,N/A,Aatrox,Sejuani,Yone,Varus,Maokai,Sion,Morgana,Tristana,Ziggs,Leona
72108,2025,LPL,JD Gaming,Bilibili Gaming,Bilibili Gaming,N/A,Yorick,Naafiri,Twisted Fate,Ezreal,Blitzcrank,Mordekaiser,Poppy,Mel,Caitlyn,Elise
72109,2025,LPL,Invictus Gaming,Edward Gaming,Invictus Gaming,N/A,Aurora,Naafiri,Azir,Kaisa,Neeko,Yorick,Trundle,Taliyah,Corki,Rell
72110,2025,LPL,Edward Gaming,Invictus Gaming,Invictus Gaming,N/A,Sion,Xin Zhao,Orianna,Varus,Braum,Aatrox,Vi,Annie,Yunara,Alistar
72111,2025,LPL,Edward Gaming,Invictus Gaming,Invictus Gaming,N/A,Renekton,Sylas,Ryze,Senna,Nautilus,Jayce,Zed,Twisted Fate,Xayah,Rakan
72114,2025,LPL,Anyone s Legend,Weibo Gaming,Anyone s Legend,N/A,Sion,Poppy,Orianna,Sivir,Lulu,Gwen,Wukong,Taliyah,Yunara,Leona
72115,2025,LPL,Weibo Gaming,Anyone s Legend,Weibo Gaming,N/A,Renekton,Qiyana,Annie,Xayah,Rakan,Ornn,Zed,Galio,Kaisa,Alistar
72116,2025,LPL,Anyone s Legend,Weibo Gaming,Weibo Gaming,N/A,Rumble,Xin Zhao,Viktor,Varus,Neeko,KSante,Naafiri,Ryze,Corki,Karma
72117,2025,LPL,Anyone s Legend,Weibo Gaming,Anyone s Legend,N/A,Jayce,Trundle,Kassadin,Miss Fortune,Bard,Aatrox,Jarvan IV,Morgana,Zeri,Rell
72118,2025,LPL,Weibo Gaming,Anyone s Legend,Weibo Gaming,N/A,Ambessa,Lee Sin,Twisted Fate,Ezreal,Braum,RekSai,Vi,LeBlanc,Lucian,Nami
72119,2025,LPL,Top Esports,Ninjas in Pyjamas,Top Esports,N/A,Ornn,Qiyana,Annie,Yunara,Neeko,Rumble,Jarvan IV,Sion,Kaisa,Nautilus
72120,2025,LPL,Ninjas in Pyjamas,Top Esports,Ninjas in Pyjamas,N/A,Yorick,Sylas,Ryze,Varus,Alistar,KSante,Xin Zhao,Aurora,Sivir,Braum
72121,2025,LPL,Top Esports,Ninjas in Pyjamas,Top Esports,N/A,Gnar,Skarner,Azir,Jhin,Leona,Renekton,Naafiri,Taliyah,Corki,Rell
72122,2025,LPL,Top Esports,Ninjas in Pyjamas,Top Esports,N/A,Ambessa,Wukong,Akali,Caitlyn,Karma,Gwen,Pantheon,Orianna,Miss Fortune,Elise
72124,2025,LPL,Maze Gaming,Sicar Esports,Maze Gaming,Sicar Esports,Yorick,Skarner,Azir,Kaisa,Rell,Ambessa,Sejuani,Yone,Corki,Nautilus
